member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
FRC-b2,1em2,best,Ndot,1.0329657144267077,1.072678328231924,1.0329657144267077,1.065065776974011
FRC-b2,1em2,best,Nddot,0.2346462192601888,0.24298127484943452,0.2346462192601888,0.23933861081482957
FRC-b2,1em2,best,N3dot,0.5075715264080591,0.516755568316575,0.5075715264080591,0.5027593270507387
FRC-b2,1em2,zero,Ndot,0.15675451727281234,0.14756449643441877,0.15675451727281234,0.14654967255441617
FRC-b2,1em2,zero,Nddot,0.40573489676907415,0.3935481852638422,0.40573489676907415,0.3902258762192455
FRC-b2,1em2,zero,N3dot,0.914797758769373,0.9406949394630969,0.914797758769373,0.9348993492306557
FRC-b2,1p5em2,best,Ndot,1.3270103620321367,1.440389546763014,1.3270103620321367,1.4363031233319135
FRC-b2,1p5em2,best,Nddot,1.084124038404936,1.1054959553454238,1.084124038404936,1.1017891909516662
FRC-b2,1p5em2,best,N3dot,1.3544386080367479,1.3738442910575763,1.3544386080367479,1.360145275239814
FRC-b2,1p5em2,zero,Ndot,0.3641807102149489,0.353108116860878,0.3641807102149489,0.3520699423270002
FRC-b2,1p5em2,zero,Nddot,1.5026048481554772,1.4651968333174636,1.5026048481554772,1.4607109830047105
FRC-b2,1p5em2,zero,N3dot,3.295762920477884,3.2065150974420487,3.295762920477884,3.1952019408975585
FRC-b2,5em3,best,Ndot,5.651105819088273,5.636326114621329,5.651105819088273,5.580015802312697
FRC-b2,5em3,best,Nddot,0.19776517108223962,0.19503161611428585,0.19776517108223962,0.19118120347948067
FRC-b2,5em3,best,N3dot,0.5902733148454151,0.586361737066399,0.5902733148454151,0.5713558489153465
FRC-b2,5em3,zero,Ndot,0.1312490110709782,0.12605199377070683,0.1312490110709782,0.1250364801785803
FRC-b2,5em3,zero,Nddot,0.21039526569623074,0.198583222349458,0.21039526569623074,0.1953356786371884
FRC-b2,5em3,zero,N3dot,0.2859555618513301,0.2738766880082299,0.2843181746092901,0.26261206168404794
FRC-combo,1em2,best,Ndot,0.17105103663502838,0.18444156917678142,0.17105103663502838,0.18444156917678142
FRC-combo,1em2,best,Nddot,0.1324540716343367,0.13940874215665602,0.1324540716343367,0.13940874215665602
FRC-combo,1em2,best,N3dot,0.5660219502619854,0.565220024615612,0.5660219502619854,0.565220024615612
FRC-combo,1em2,zero,Ndot,0.2144422443099592,0.21081661176716526,0.2144422443099592,0.21081661176716526
FRC-combo,1em2,zero,Nddot,0.27014539760199996,0.27165904701376875,0.27014539760199996,0.27165904701376875
FRC-combo,1em2,zero,N3dot,0.3224666193892929,0.33253827787514906,0.3224666193892929,0.33253827787514906
FRC-combo,1p5em2,best,Ndot,0.12701541607265304,0.15845353792087014,0.12701541607265304,0.15845353792087014
FRC-combo,1p5em2,best,Nddot,0.1408203147948503,0.15710725672086145,0.1408203147948503,0.15710725672086145
FRC-combo,1p5em2,best,N3dot,0.561516872220671,0.5639937434573206,0.561516872220671,0.5639937434573206
FRC-combo,1p5em2,zero,Ndot,0.21542412510013287,0.2129740722109982,0.21542412510013287,0.2129740722109982
